STA,Station Name,Elevation,Latitude,Longitude,Nearby City,Hydro #,Basin #,Owner,Maintenance,Operator,Map #,Collect #,County Name,Basin Name,Agency Name,Hydro Area,Sensor1,sensor2,sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor20,Sensor21,,,
CLC,CLIFTON COURT,3,37.8298,-121.5574,BYRON,2,8101,999,999,703,23,0,CONTRA COSTA,DELTA,CA Dept of Water Resources/Operations and Maintenance,SAN FRANCISCO BAY,10,25,27,62,76,100,114,134,146,273,,,,,,,,,,,,,,
CLL,COLLINSVILLE,0,38.073981,-121.850123,COLLINSVILLE,5,8101,999,999,50,16,0,SOLANO,DELTA,US Bureau of Reclamation,SACRAMENTO RIVER,14,25,100,102,,,,,,,,,,,,,,,,,,,,
CMG,CUMMINGS PEAK,895,38.028,-122.197,CROCKETT,2,2001,999,999,107,16,0,CONTRA COSTA,EAST BAY,Contra Costa County,SAN FRANCISCO BAY,16,,,,,,,,,,,,,,,,,,,,,,,
CMK,N FK CALAVERAS R NR MOKELUMNE HILL,920,38.2819,-120.6701,MOKELUMNE HILL,6,8401,999,999,58,17,2,CALAVERAS,CALAVERAS R,US Geological Survey,SAN JOAQUIN RIVER,1,14,16,45,,,,,,,,,,,,,,,,,,,,
CMN,CAMANCHE RESERVOIR,236,38.225,-121.021,CLEMENTS,6,8301,999,999,86,17,0,SAN JOAQUIN,MOKELUMNE R,East Bay Municipal Utility District,SAN JOAQUIN RIVER,6,7,15,22,23,76,94,200,,,,,,,,,,,,,,,,
CNT,CONTRA COSTA,10,37.99495,-121.702809,OAKLEY,5,8101,999,999,50,22,0,CONTRA COSTA,DELTA,US Bureau of Reclamation,SACRAMENTO RIVER,14,25,100,,,,,,,,,,,,,,,,,,,,,
CPD,CAMP PARDEE,658,38.25,-120.867,,6,8301,999,999,86,18,0,CALAVERAS,MOKELUMNE R,East Bay Municipal Utility District,SAN JOAQUIN RIVER,2,,,,,,,,,,,,,,,,,,,,,,,
CPP,CORDELIA PUMPING PLANT (KG002111),2,38.2276,-122.1347,SUISUN CITY,2,8101,999,999,703,16,0,SOLANO,DELTA,CA Dept of Water Resources/Operations and Maintenance,SAN FRANCISCO BAY,25,27,100,146,,,,,,,,,,,,,,,,,,,,
CPS,CAMP SECO RAWS,399,38.22361,-120.866386,VALLEY SPRINGS,5,8401,999,999,59,17,2,CALAVERAS,CALAVERAS R,US Bureau of Land Management,SACRAMENTO RIVER,2,4,9,10,11,12,13,14,26,45,77,78,,,,,,,,,,,,
CRD,PETALUMA RIVER NR CORONA ROAD,30,38.267,-122.667,PETALUMA,2,1801,999,999,75,16,0,SONOMA,PETALUMA R,City of Petaluma,SAN FRANCISCO BAY,1,16,,,,,,,,,,,,,,,,,,,,,,
CRI,CAHILL RIDGE,1044,37.5102,-122.374,SAN MATEO,2,2650,999,999,182,22,2,SAN MATEO,SAN MATEO CREEK,San Francisco PUC,SAN FRANCISCO BAY,14,16,45,,,,,,,,,,,,,,,,,,,,,
CRT,CORRECTIONAL CTR,18,38.307,-121.424,ELK GROVE,6,8201,999,999,134,17,0,SACRAMENTO,COSUMNES R,Sacramento County,SAN JOAQUIN RIVER,16,,,,,,,,,,,,,,,,,,,,,,,
CRY,LOWER CRYSTAL SPRINGS RESERVOIR,293,37.53,-122.36,SAN MATEO,2,2650,999,999,180,22,0,SAN MATEO,SAN MATEO CREEK,San Francisco County,SAN FRANCISCO BAY,15,,,,,,,,,,,,,,,,,,,,,,,
CS2,CAMANCHE SO. STA.2,331,38.204,-120.972,WALLACE,6,8301,999,999,139,18,0,CALAVERAS,MOKELUMNE R,San Joaquin County,SAN JOAQUIN RIVER,16,,,,,,,,,,,,,,,,,,,,,,,
CSC,CRYSTAL SPRINGS COTTAGE,343,37.496,-122.329,SAN CARLOS,2,2650,999,999,182,22,0,SAN MATEO,SAN MATEO CREEK,San Francisco PUC,SAN FRANCISCO BAY,14,16,45,,,,,,,,,,,,,,,,,,,,,
CSE,COLLINSVILLE ON SACRAMENTO RIVER,0,38.074,-121.8501,FAIRFIELD,5,8101,999,999,705,17,0,SOLANO,DELTA,CA Dept of Water Resources/Div of Environmental Services,SACRAMENTO RIVER,1,14,25,27,28,61,62,100,,,,,,,,,,,,,,,,
CSN,COSUMNES R AT MICHIGAN BAR,168,38.5,-121.044,RANCHO MURIETA,6,8201,999,999,58,17,0,SACRAMENTO,COSUMNES R,US Geological Survey,SAN JOAQUIN RIVER,65,66,260,261,262,263,264,265,,,,,,,,,,,,,,,,
CSP,CHALK PLANT NR NEW SAN PEDRO,895,37.808183,-120.542367,NEW SAN PEDRO,6,8601,999,999,180,23,2,TUOLUMNE,TUOLUMNE R,San Francisco County,SAN JOAQUIN RIVER,2,4,5,9,10,12,14,17,45,77,103,122,,,,,,,,,,,,
CVC,CASTRO VALLEY CR AT HAYWARD CA,100,37.67993164,-122.0805206,HAYWARD,2,2001,999,999,58,22,0,ALAMEDA,EAST BAY,US Geological Survey,SAN FRANCISCO BAY,1,14,,,,,,,,,,,,,,,,,,,,,,
CVP,CHEVRON PUMP PLANT,130,37.998,-121.855,PITTSBURG,2,9001,999,999,107,23,0,CONTRA COSTA,SAN JOAQUIN R,Contra Costa County,SAN FRANCISCO BAY,16,,,,,,,,,,,,,,,,,,,,,,,
CWS,CRABTREE WEATHER STATION,226,37.725,-120.6006,LA GRANGE,6,8601,999,999,150,24,0,STANISLAUS,TUOLUMNE R,Stanislaus County,SAN JOAQUIN RIVER,2,4,9,10,11,12,13,14,26,77,78,,,,,,,,,,,,,
CX2,DAILY X2 CALCULATION,0,37.8333,-122.4167,SAN FRANCISCO,2,2801,999,999,700,22,0,SAN FRANCISCO,SF BAY,CA Dept of Water Resources/Flood Management,SAN FRANCISCO BAY,145,,,,,,,,,,,,,,,,,,,,,,,
CYG,CYGNUS-CORDELIA SLOUGH,0,38.1527,-122.0908,FAIRFIELD,5,8101,999,999,705,16,0,SOLANO,DELTA,CA Dept of Water Resources/Div of Environmental Services,SACRAMENTO RIVER,1,14,25,100,,,,,,,,,,,,,,,,,,,,
DAR,DRAINAGE AT ARBOR ROAD ,20,37.768959,-121.419414,TRACEY,5,9001,999,999,704,22,2,SAN JOAQUIN,SAN JOAQUIN R,CA Dept of Water Resources/North Central Region Office,SACRAMENTO RIVER,1,14,20,100,146,,,,,,,,,,,,,,,,,,,
DBD,DISCOVERY BAY AT DISCOVERY BAY BLVD,9,37.8928,-121.6025,BYRON,6,9001,999,999,704,23,0,CONTRA COSTA,SAN JOAQUIN R,CA Dept of Water Resources/North Central Region Office,SAN JOAQUIN RIVER,1,14,141,,,,,,,,,,,,,,,,,,,,,
DBF,DUBLIN-SAN RAMON FIRE HOUSE,355,37.732,-121.927,DUBLIN,2,2001,999,999,107,23,0,CONTRA COSTA,EAST BAY,Contra Costa County,SAN FRANCISCO BAY,2,16,45,,,,,,,,,,,,,,,,,,,,,
DBI,DISCOVERY BAY AT INDIAN SLOUGH,6,37.91765213,-121.5867233,BYRON,6,9001,999,999,704,999,0,CONTRA COSTA,SAN JOAQUIN R,CA Dept of Water Resources/North Central Region Office,SAN JOAQUIN RIVER,1,14,141,,,,,,,,,,,,,,,,,,,,,
